org,dest,km_linear,km_rota
1100015,2402105,2930.1337703684776,4499.0
1100015,2402303,2795.33066922388,4388.0
1100015,2403202,2699.127013936844,4328.0
1100015,2403301,2705.529478702548,4288.0
1100015,2403608,3042.0423474587965,4606.0
1100015,2403806,2863.674518432128,4448.0
1100015,2404200,3033.489917272759,4531.0
1100015,2405108,2959.040189219397,4589.0
1100015,2405702,2854.3754027588157,4412.0
1100015,2406205,2984.7880841157503,4543.0
1100015,2406502,2893.2488035447827,4482.0
1100015,2406601,3006.630916575786,4584.0
1100015,2406700,2946.793434060414,4534.0
1100015,2407005,2686.5785634047056,4236.0
1100015,2407302,2708.6188339016608,4275.0
1100015,2407708,3016.212174070892,4533.689
1100015,2408201,3040.5524308840977,4555.0
1100015,2408300,3000.310885151329,4519.0
1100015,2408409,2773.5357342736047,4362.0
1100015,2408805,2986.418301440816,4704.0
1100015,2409407,2719.6840876648575,4276.0
1100015,2410256,2895.0806453603686,4519.0
1100015,2410405,3017.3415114158406,4762.462
1100015,2410900,2976.3636805427604,4637.0
1100015,2411601,2983.755538187056,4736.0
1100015,2411809,2816.4523571200166,4364.0
1100015,2412559,3007.703688003893,4710.271
1100015,2413300,2973.636465210084,4553.0
1100015,2413359,2871.871213963241,4500.0
1100015,2413706,2958.2122441298793,4595.0
1100015,2414159,2873.0016169242085,4461.0
1100015,2414407,3022.677024870217,4392.258
1100015,2500205,2690.220542953727,4214.0
1100015,2500304,2966.5031817639074,4483.0
1100015,2500536,2903.7643300430254,4331.0
1100015,2500809,3000.741741575081,4491.0
1100015,2501203,2932.8512891099144,4429.0
1100015,2501401,3043.8500370959364,4491.0
1100015,2501534,2908.513250607554,4486.0
1100015,2501609,2929.2402901285823,4478.0
1100015,2502904,2748.745583476173,4320.0
1100015,2504074,2854.2432486225084,4271.0
1100015,2504850,2844.957576606151,4270.0
1100015,2505238,3006.3485341488304,4471.0
1100015,2505279,3007.251493725319,4487.0
1100015,2505501,2765.2870699819305,4311.0
1100015,2506004,2940.1704373803655,4425.0
1100015,2506301,2987.01414678954,4503.0
1100015,2507200,2959.717956065984,4465.0
1100015,2508406,2705.347791359219,4252.0
1100015,2509339,2947.2934629395086,4423.0
1100015,2509503,2928.0248393044562,4422.0
1100015,2509701,2779.3227487446043,4181.0
1100015,2510501,2900.08418718364,4487.0
1100015,2510808,2782.4480070140185,4344.0
1100015,2511301,2715.206431996996,4229.0
1100015,2511806,2985.5623000037313,4511.0
1100015,2512507,2926.6232274106274,4383.0
1100015,2512721,3013.203579544938,4495.0
1100015,2513307,2657.0749726131376,4192.0
1100015,2513703,3036.6030348588242,4423.0
1100015,2514552,2681.6160916370486,4142.0
1100015,2514602,2781.326232345416,4360.0
1100015,2514701,2846.5965475297753,4405.0
1100015,2515104,2937.5717347088944,4415.0
1100015,2515302,3007.9241685854527,4466.0
1100015,2516102,2882.925973829826,4462.0
1100015,2516508,2831.500226597677,4324.0
1100015,2516706,2785.8367146302353,4273.0
1100015,2516904,2686.075004094065,4222.0
1100015,2517100,2825.861722948799,4399.0
1100015,2517209,2694.119587781702,4247.0
1100015,2600054,3013.1519738342718,4322.0
1100015,2600807,2881.2579863013702,4181.0
1100015,2601003,2850.873928009394,4130.0
1100015,2601706,2849.384288368854,4183.0
1100015,2602001,2477.568953565469,3951.0
1100015,2602100,2805.772318651817,4059.0
1100015,2602704,2976.538430146984,4367.0
1100015,2603405,2675.2502753114277,4120.0
