Município - UF;COD mun
Serra Alta - SC;4217550
Palmeira das Missoes - RS;4313706
Boituva - SP;3507001
Parauna - GO;5216403
Santo Antonio dos Lopes - MA;2110302
Olivedos - PB;2510501
Agua Nova - RN;2400406
Turvo - SC;4218806
Alto Paraiso - PR;4128625
Sao Domingos do Araguaia - PA;1507151
Simao Pereira - MG;3167509
Italva - RJ;3302056
Sao Sebastiao da Amoreira - PR;4126009
Caetanopolis - MG;3109907
Joselandia - MA;2105609
Duas Barras - RJ;3301603
Choro - CE;2303931
Itajuba - MG;3132404
Bom Jesus do Itabapoana - RJ;3300605
Pau da Arco do Piaui - PI;2207793
Sao Joao - PR;4124806
Corumba de Goias - GO;5205802
Alto Paraguai - MT;5100508
Monte Alegre do Sul - SP;3531209
Fonte Boa - AM;1301605
Sao Francisco de Sales - MG;3161304
Campo Alegre de Goias - GO;5204805
Americo de Campos - SP;3501806
Sao Goncalo do Abaete - MG;3161700
Presidente Bernardes - MG;3153103
Queiroz - SP;3541802
Bauru - SP;3506003
Sao Geraldo da Piedade - MG;3161601
Cruzmaltina - PR;4106852
Sao Goncalo do Amarante - CE;2312403
Marzagao - GO;5212907
Tangara da Serra - MT;5107958
Pacaraima - RR;1400456
Charrua - RS;4305371
Limoeiro do Norte - CE;2307601
Calumbi - PE;2603405
Senador la Rocque - MA;2111763
Areial - PB;2501203
Planalto - RS;4314704
Querencia do Norte - PR;4121000
Presidente Sarney - MA;2109270
Iepe - SP;3519907
Umburanas - BA;2932457
Couto de Magalhaes - TO;1706001
Luminarias - MG;3138708
Queimados - RJ;3304144
Carangola - MG;3113305
Serra do Navio - AP;1600055
Celso Ramos - SC;4204152
Passabem - MG;3147501
Patrocinio do Muriae - MG;3148202
Liberdade - MG;3138500
Cabeceira Grande - MG;3109451
Verissimo - MG;3171105
Nova Esperanca do Sul - RS;4313037
Colinas - RS;4305587
Brejo do Piaui - PI;2201988
Treviso - SC;4218350
Gloria do Goita - PE;2606101
Teixeira - PB;2516706
Rubelita - MG;3156502
Pirpirituba - PB;2511806
Dirceu Arcoverde - PI;2203354
Cachoeira da Prata - MG;3109600
Sao Lourenco da Serra - SP;3549953
Jacobina do Piaui - PI;2205151
Nova Xavantina - MT;5106257
Bom Jesus - PI;2201903
Cocalinho - MT;5103106
Delta - MG;3121258
Alcantil - PB;2500536
Lagoa Formosa - MG;3137502
Jaguapita - PR;4111902
Brochier - RS;4302659
Barra do Ribeiro - RS;4301909
Quixada - CE;2311306
Augustinopolis - TO;1702554
Dom Bosco - MG;3122470
Mulungu - CE;2309102
Remanso - BA;2926004
Sao Juliao - PI;2210300
Muriae - MG;3143906
Colatina - ES;3201506
Itapora do Tocantins - TO;1711100
Nova Prata do Iguacu - PR;4117255
Bujaru - PA;1501907
Nova Bandeirantes - MT;5106158
Timbo Grande - SC;4218251
Pirauba - MG;3151305
Marapanim - PA;1504406
Sao Bernardo do Campo - SP;3548708
Cristalina - GO;5206206
Sao Raimundo das Mangabeiras - MA;2111607
Ribeirao Grande - SP;3543253
Urubici - SC;4218905
Guaratinga - BA;2911808
Guacui - ES;3202306
Sao Vicente de Minas - MG;3165305
Felicio dos Santos - MG;3125408
Serra do Mel - RN;2413359
Assis Brasil - AC;1200054
Sao Domingos - SC;4216107
Mucambo - CE;2309003
Joaquim Nabuco - PE;2608206
Sao Benedito do Rio Preto - MA;2110401
Bacabeira - MA;2101251
Itanhomi - MG;3133204
Brasnorte - MT;5101902
Sao Carlos - SP;3548906
Mateiros - TO;1712702
Vicosa - MG;3171303
Videira - SC;4219309
Novo Oriente - CE;2309409
Parazinho - RN;2408805
Belterra - PA;1501451
Sericita - MG;3166303
Benjamin Constant do Sul - RS;4302055
Araguacu - TO;1702000
Lagoa do Ouro - PE;2608602
Descoberto - MG;3121308
Paranapanema - SP;3535804
Marechal Candido Rondon - PR;4114609
Montes Claros de Goias - GO;5213707
Touros - RN;2414407
Rondon do Para - PA;1506187
Alto Rio Doce - MG;3102100
Euclides da Cunha - BA;2910701
Itatiba do Sul - RS;4310702
Coxixola - PB;2504850
Sao Miguel do Tocantins - TO;1720200
Adrianopolis - PR;4100202
Carmo do Paranaiba - MG;3114303
Presidente Castelo Branco - PR;4120408
Fortaleza do Tabocao - TO;1708254
Rio Quente - GO;5218789
Mormaco - RS;4312427
Pedra - PE;2610806
Santa Rita de Minas - MG;3159357
Jordao - AC;1200328
Ruropolis - PA;1506195
Barreiras do Piaui - PI;2201309
Riachuelo - RN;2410900
Bocaina de Minas - MG;3107208
Itacoatiara - AM;1301902
Paula Freitas - PR;4118600
Cajobi - SP;3509304
Dirce Reis - SP;3513850
Porto Rico - PR;4120200
Bataguassu - MS;5001904
Pium - TO;1717503
Itagiba - BA;2915205
Pinhalzinho - SC;4212908
Medianeira - PR;4115804
Gaviao - BA;2911253
Porto do Mangue - RN;2410256
Dom Pedrito - RS;4306601
Fortaleza de Minas - MG;3126307
Nacip Raydan - MG;3144201
Itaja - GO;5210802
Barra do Corda - MA;2101608
Gurupa - PA;1503101
Jeceaba - MG;3135407
Pedra Branca do Amapari - AP;1600154
Santa Barbara do Monte Verde - MG;3157278
Campo Grande do Piaui - PI;2202133
Aurora - SC;4201901
